Fechas,Montebello,Arareco,Chapala
2020-04-21 03:00,658974355.2,542139129.6,687418404
2020-04-21 03:15,658974355.2,542139129.6,687048360
2020-04-21 03:30,658974355.2,542139129.6,686308272
2020-04-21 03:45,658974355.2,542237808,686061576
2020-04-21 04:00,658974355.2,542139129.6,685321488
2020-04-21 04:15,658974355.2,542139129.6,685198140
2020-04-21 04:30,658974355.2,542237808,685198140
2020-04-21 04:45,658974355.2,542237808,684951444
2020-04-21 05:00,658974355.2,542237808,685198140
2020-04-21 05:15,658974355.2,542237808,685321488
2020-04-21 05:30,658974355.2,542237808,685568184
2020-04-21 05:45,658974355.2,542237808,685568184
2020-04-21 06:00,658974355.2,542237808,685568184
2020-04-21 06:15,658974355.2,542237808,685568184
2020-04-21 06:30,658974355.2,542237808,685568184
2020-04-21 06:45,658974355.2,542336486.4,685198140
2020-04-21 07:00,658974355.2,542336486.4,684951444
2020-04-21 07:15,658974355.2,542336486.4,684704748
2020-04-21 07:30,658974355.2,542336486.4,684211356
2020-04-21 07:45,658974355.2,542336486.4,683964660
2020-04-21 08:00,658974355.2,542336486.4,683717964
2020-04-21 08:15,658974355.2,542336486.4,683347920
2020-04-21 08:30,658974355.2,542435164.8,683101224
2020-04-21 08:45,658974355.2,542435164.8,683471268
2020-04-21 09:00,658974355.2,542435164.8,683471268
2020-04-21 09:15,658974355.2,542336486.4,683717964
2020-04-21 09:30,658974355.2,542435164.8,684211356
2020-04-21 09:45,658974355.2,542435164.8,684211356
2020-04-21 10:00,658974355.2,542435164.8,684211356
2020-04-21 10:15,658530302.4,542533843.2,684458052
2020-04-21 10:30,658530302.4,542533843.2,684211356
2020-04-21 10:45,658974355.2,542533843.2,683471268
2020-04-21 11:00,658974355.2,542533843.2,682854528
2020-04-21 11:15,658530302.4,542533843.2,683101224
2020-04-21 11:30,658530302.4,542533843.2,683347920
2020-04-21 11:45,658974355.2,542533843.2,682854528
2020-04-21 12:00,658530302.4,542533843.2,682607832
2020-04-21 12:15,658530302.4,542632521.6,683101224
2020-04-21 12:30,658530302.4,542533843.2,683471268
2020-04-21 12:45,658530302.4,542632521.6,683717964
2020-04-21 13:00,658530302.4,542533843.2,683717964
